ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Personal Finance,,1
2,Financial Literacy,,1
3,Money Management,1|2,1
4,Financial Goals,1,1
5,SMART Goals,4,1
6,Financial Philosophy,1|2,1
7,Financial Planning Process,1|3|4,12
8,Balance Sheet,1|3,1
9,Cash Flow Statement,1|3|8,2
10,Budget,3|9,2
11,Income Sources,3|9,1
12,Expense Tracking,3|9|10,1
13,Financial Statements,8|9,1
14,Emergency Fund,3|8|9,6
15,Financial Safety Net,3|14,1
16,Life Cycle Financial Planning,1|3|4|6,11
17,Fintech,1,1
18,Banking System,1,1
19,Commercial Banks,18,2
20,Credit Unions,18,3
21,Online Banks,18|17,2
22,Checking Accounts,18|19|20|21,2
23,Savings Accounts,18|19|20|21,2
24,Money Market Accounts,18|19|20|21,2
25,Bank Fees,18|19|20|21|22|23|24,2
26,Interest Rates,1,4
27,Electronic Banking,17|18|19|20|21,2
28,Mobile Banking,17|27,2
29,Cash Management,3|9|10,2
30,Fee Management,25|29,2
31,Bank Account Management,22|23|24|25|27|28|30,2
32,Credit Score,1,3
33,Credit Bureaus,32,3
34,Credit Report,32|33,3
35,Fraud Prevention,1|33|34,3
36,Identity Theft,35,3
37,Credit Counseling,32|34,3
38,Credit Rehabilitation,32|34|37,3
39,Credit Card,32,3
40,Revolving Debt,39,3
41,Installment Debt,1,3
42,Strategic Borrowing,32|40|41,3
43,Debt Reduction Strategies,40|41,3
44,Debt Consolidation,41|43,3
45,Auto Loans,26|32|41,4
46,Student Loans,26|32|41,4
47,Federal Student Loans,46,4
48,Private Student Loans,46,4
49,Personal Loans,26|32|41,4
50,Payday Loans,26|32|41,4
51,Mortgage Loans,26|32|41,4
52,Mortgage Types,51,4
53,Refinancing,51|52,4
54,Reverse Mortgages,51|52,4
55,Buy vs. Rent Analysis,51|52,4
56,Small Business Loans,26|32|41,4
57,Microloans,26|32|41,4
58,Progressive Taxation,1,5
59,Income Tax,58,5
60,Payroll Tax,58,5
61,Property Tax,58,5
62,Sales Tax,58,5
63,Tax Filing Status,59,5
64,Dependents (Tax),59|63,5
65,Standard Deduction,59,5
66,Itemized Deductions,59|65,5
67,Tax Credits,59,5
68,Tax-Advantaged Accounts,59,5
69,Tax Loss Harvesting,59|68,5
70,Charitable Giving (Tax),59|66,5
71,Estate Tax,58,5
72,Risk Management,1,6
73,Insurance Terminology,72,7
74,Insurance Coverage,72|73,7
75,Policy Exclusions,73|74,7
76,Deductibles,73|74,7
77,Premiums,73|74,7
78,Claims Process,73|74,7
79,Self-Insurance,72|73,7
80,Health Insurance,72|73,7
81,Health Insurance Plans,80,7
82,Medicare,80,7
83,Medicaid,80,7
84,HSAs,68|80,7
85,FSAs,68|80,7
86,Healthcare Costs,80|81|82|83|84|85,7
87,Auto Insurance,72|73,7
88,Comprehensive Insurance,87,7
89,Collision Insurance,87,7
90,Liability Insurance,72|73,6
91,Homeowners Insurance,72|73,7
92,Renters Insurance,72|73,7
93,Umbrella Liability Policies,90,6
94,Life Insurance,72|73,7
95,Term Life Insurance,94,7
